Period,Department,AccountCode,AccountName,AccountType,Scenario,ForecastSGD,DownsideSGD,UpsideSGD,DriverNote
2026-11,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-198965.93,-208914.22,-192996.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-65596.87,-68876.72,-63628.97,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,6200,Technology and Cloud,Opex,Base,-80515.28,-84541.04,-78099.82,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,6300,People Cost,Opex,Base,-176722.82,-185558.97,-171421.14,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,6400,Premises and Admin,Opex,Base,-36455.02,-38277.77,-35361.37,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,6500,Compliance and Risk,Opex,Base,-29549.85,-31027.35,-28663.36,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,7000,Credit Loss Provision,Provision,Base,-22152.83,-23260.47,-21488.24,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,4000,Interest Income,Revenue,Base,932699.24,867410.29,988661.19,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,4100,Fee and Commission Income,Revenue,Base,474625.46,441401.68,503102.99,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,4200,Transaction Revenue,Revenue,Base,290330.7,270007.55,307750.54,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-486765.04,-511103.29,-472162.09,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-153964.16,-161662.37,-149345.23,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,6200,Technology and Cloud,Opex,Base,-187721.84,-197107.93,-182090.18,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,6300,People Cost,Opex,Base,-402338.55,-422455.48,-390268.4,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,6400,Premises and Admin,Opex,Base,-87017.3,-91368.17,-84406.79,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,6500,Compliance and Risk,Opex,Base,-66335.71,-69652.5,-64345.64,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Retail Banking,7000,Credit Loss Provision,Provision,Base,-50979.69,-53528.67,-49450.3,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,4000,Interest Income,Revenue,Base,646719.65,601449.28,685522.83,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,4100,Fee and Commission Income,Revenue,Base,328065.07,305100.51,347748.97,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,4200,Transaction Revenue,Revenue,Base,198758.11,184845.04,210683.59,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,5000,Cost of Service Delivery,COGS,Base,-326735.68,-343072.46,-316933.61,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,6100,Marketing and Acquisition,Opex,Base,-103044.49,-108196.71,-99953.15,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,6200,Technology and Cloud,Opex,Base,-127251.94,-133614.54,-123434.39,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,6300,People Cost,Opex,Base,-284982.35,-299231.47,-276432.88,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,6400,Premises and Admin,Opex,Base,-58197.11,-61106.96,-56451.2,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,6500,Compliance and Risk,Opex,Base,-46737.43,-49074.3,-45335.31,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,SME Lending,7000,Credit Loss Provision,Provision,Base,-35026.64,-36777.98,-33975.85,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,4000,Interest Income,Revenue,Base,1099470.29,1022507.37,1165438.5,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,4100,Fee and Commission Income,Revenue,Base,564503.07,524987.86,598373.26,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,4200,Transaction Revenue,Revenue,Base,342062.4,318118.03,362586.14,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,5000,Cost of Service Delivery,COGS,Base,-571730.39,-600316.91,-554578.48,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,6100,Marketing and Acquisition,Opex,Base,-180925.49,-189971.77,-175497.73,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,6200,Technology and Cloud,Opex,Base,-223198.55,-234358.48,-216502.6,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,6300,People Cost,Opex,Base,-478000.53,-501900.55,-463660.51,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,6400,Premises and Admin,Opex,Base,-100618.27,-105649.18,-97599.72,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,6500,Compliance and Risk,Opex,Base,-81383.32,-85452.48,-78941.82,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Enterprise,7000,Credit Loss Provision,Provision,Base,-61014.33,-64065.04,-59183.9,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,4000,Interest Income,Revenue,Base,403894.07,375621.48,428127.71,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,4100,Fee and Commission Income,Revenue,Base,207535.3,193007.83,219987.42,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,4200,Transaction Revenue,Revenue,Base,125690.68,116892.34,133232.12,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-202251.6,-212364.18,-196184.06,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-66680.13,-70014.13,-64679.72,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,6200,Technology and Cloud,Opex,Base,-81844.89,-85937.14,-79389.54,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,6300,People Cost,Opex,Base,-179641.18,-188623.24,-174251.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,6400,Premises and Admin,Opex,Base,-37057.03,-38909.88,-35945.32,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,6500,Compliance and Risk,Opex,Base,-30037.83,-31539.73,-29136.7,H1 run-rate extended with 1.8% monthly growth assumption
2026-12,Digital Payments,7000,Credit Loss Provision,Provision,Base,-22518.66,-23644.59,-21843.1,H1 run-rate extended with 1.8% monthly growth assumption
