JournalID,Period,PostingDate,Department,Region,AccountCode,AccountName,AmountSGD,DrCr,Source,Status
JE-2026-00222,2026-06,2026-06-30,Enterprise,Singapore,4100,Fee and Commission Income,525156.87,Cr,Billing,Posted
JE-2026-00223,2026-06,2026-06-30,Enterprise,Singapore,4200,Transaction Revenue,314065.53,Cr,Billing,Posted
JE-2026-00224,2026-06,2026-06-30,Enterprise,Singapore,5000,Cost of Service Delivery,-536708.62,Dr,ERP,Posted
JE-2026-00225,2026-06,2026-06-30,Enterprise,Singapore,6100,Marketing and Acquisition,-161736.46,Dr,ERP,Posted
JE-2026-00226,2026-06,2026-06-30,Enterprise,Singapore,6200,Technology and Cloud,-212087.92,Dr,ERP,Posted
JE-2026-00227,2026-06,2026-06-30,Enterprise,Singapore,6300,People Cost,-465274.1,Dr,ERP,Posted
JE-2026-00228,2026-06,2026-06-30,Enterprise,Singapore,6400,Premises and Admin,-93564.34,Dr,ERP,Posted
JE-2026-00229,2026-06,2026-06-30,Enterprise,Singapore,6500,Compliance and Risk,-73863.43,Dr,ERP,Posted
JE-2026-00230,2026-06,2026-06-30,Enterprise,Singapore,7000,Credit Loss Provision,-58926.53,Dr,ERP,Posted
JE-2026-00231,2026-06,2026-06-30,Digital Payments,Hong Kong,4000,Interest Income,378122.61,Cr,Billing,Posted
JE-2026-00232,2026-06,2026-06-30,Digital Payments,Hong Kong,4100,Fee and Commission Income,189150.08,Cr,Billing,Posted
JE-2026-00233,2026-06,2026-06-30,Digital Payments,Hong Kong,4200,Transaction Revenue,114313.04,Cr,Billing,Posted
JE-2026-00234,2026-06,2026-06-30,Digital Payments,Hong Kong,5000,Cost of Service Delivery,-187051.04,Dr,ERP,Posted
JE-2026-00235,2026-06,2026-06-30,Digital Payments,Hong Kong,6100,Marketing and Acquisition,-58085.63,Dr,ERP,Posted
JE-2026-00236,2026-06,2026-06-30,Digital Payments,Hong Kong,6200,Technology and Cloud,-71961.5,Dr,ERP,Posted
JE-2026-00237,2026-06,2026-06-30,Digital Payments,Hong Kong,6300,People Cost,-175224.33,Dr,ERP,Posted
JE-2026-00238,2026-06,2026-06-30,Digital Payments,Hong Kong,6400,Premises and Admin,-35949.32,Dr,ERP,Posted
JE-2026-00239,2026-06,2026-06-30,Digital Payments,Hong Kong,6500,Compliance and Risk,-29649.83,Dr,ERP,Posted
JE-2026-00240,2026-06,2026-06-30,Digital Payments,Hong Kong,7000,Credit Loss Provision,-20266.46,Dr,ERP,Posted
